lab_id,name,loinc_code,confidence,candidates_json,match_type
21225,Specific Gravity (no units),2965-2,high,"[""2965-2||Specific gravity of Urine"", ""50562-8||Specific gravity of Urine by Refractometry automated"", ""5810-7||Specific gravity of Urine by Refractometry"", ""33513-3||Specific gravity of Specimen"", ""2964-5||Specific gravity of Body fluid"", ""35414-2||Specific gravity of Body fluid by Refractometry"", ""44933-0||Specific gravity of 24 hour Urine by Refractometry"", ""57094-5|mg/L|Phenol [Mass/volume] adjusted to specific gravity 1.024 in Urine"", ""14349-5||Specific gravity of Pleural fluid by Refractometry"", ""17598-4||Specific gravity of Synovial fluid"", ""14350-3||Specific gravity of Synovial fluid by Refractometry"", ""2966-0||Specific gravity of 24 hour Urine"", ""14348-7||Specific gravity of Peritoneal fluid by Refractometry"", ""5811-5||Specific gravity of Urine by Test strip"", ""53326-5||Specific gravity of Urine by Automated test strip"", ""19152-8||Specimen specific gravity acceptable [Presence] in Urine"", ""53555-9||Specific gravity of Red Blood Cells"", ""14345-3||Specific gravity of Amniotic fluid by Refractometry"", ""14346-1||Specific gravity of Cerebral spinal fluid by Refractometry"", ""14347-9||Specific gravity of Gastric fluid by Refractometry"", ""14351-1||Specific gravity of Stool by Refractometry"", ""14352-9||Specific gravity of Water by Refractometry"", ""60027-0||Specific gravity of Pericardial fluid"", ""68384-7||Specific gravity of Pericardial fluid by Refractometry"", ""49959-0||Specific gravity of Urine by Adjustment to pH 7.4"", ""2857-1|ug/L;ng/mL|Prostate specific Ag [Mass/volume] in Serum or Plasma"", ""10886-0|ug/L;ng/mL|Prostate Specific Ag Free [Mass/volume] in Serum or Plasma"", ""12841-3|%|Prostate Specific Ag Free/Prostate specific Ag.total in Serum or Plasma"", ""83112-3|ng/mL|Prostate specific Ag [Mass/volume] in Serum or Plasma by Immunoassay"", ""35741-8|ug/L|Prostate specific Ag [Mass/volume] in Serum or Plasma by Detection limit <= 0.01 ng/mL"", ""19195-7|IU/L|Prostate specific Ag [Units/volume] in Serum or Plasma"", ""47738-0|ug/L|Prostate specific Ag [Mass/volume] in Body fluid"", ""15325-4|ratio|Prostate specific Ag/Prostate volume calculated"", ""15060-7|ug/L;ng/mL|Enolase.neuron specific [Mass/volume] in Serum or Plasma"", ""51716-9|nmol/L|Muscle specific receptor tyrosine kinase Ab [Moles/volume] in Serum"", ""19201-3|IU/L|Prostate Specific Ag Free [Units/volume] in Serum or Plasma"", ""83113-1|ng/mL|Prostate Specific Ag Free [Mass/volume] in Serum or Plasma by Immunoassay"", ""75605-6|%|Cell-free DNA.fetal/Cell-free DNA.total in Plasma cell-free DNA by Dosage of chromosome-specific cfDNA"", ""13629-1|pg/mL|Interleukin 1 beta [Mass/volume] in Serum or Plasma"", ""33667-7|ng/mL; ug/L|Prostate specific Ag.protein bound [Mass/volume] in Serum or Plasma""]",exact
24842,pH (no units),5803-2,medium,"[""5803-2|pH|pH of Urine by Test strip"", ""19072-8|mmol/L|Calcium.ionized [Moles/volume] adjusted to pH 7.4 in Serum or Plasma"", ""30525-0|years|Age"", ""38524-5|%|Hemoglobin F/Hemoglobin.total in Blood by Electrophoresis alkaline (pH 8.9)"", ""4554-2|%|Hemoglobin A2/Hemoglobin.total in Blood by Electrophoresis alkaline (pH 8.9)"", ""47598-8|mmol/L|Calcium.ionized [Moles/volume] adjusted to pH 7.4 in Blood"", ""52132-8|%|t(9;22)(q34.1;q11)(ABL1,BCR) e1a2 fusion transcript/control transcript [# Ratio] in Blood or Tissue by Molecular genetics method"", ""69380-4|%|t(9;22)(q34.1;q11)(ABL1,BCR) b2a2+b3a2 fusion transcript/control transcript (International Scale) [# Ratio] in Blood or Tissue by Molecular genetics method"", ""4562-5|%|Hemoglobin C/Hemoglobin.total in Blood by Electrophoresis alkaline (pH 8.9)"", ""4561-7|%|Hemoglobin C/Hemoglobin.total in Blood by Electrophoresis acid (pH 6.3)"", ""52130-2|%|t(9;22)(q34.1;q11)(ABL1,BCR) b2a2 fusion transcript/control transcript [# Ratio] in Blood or Tissue by Molecular genetics method"", ""52131-0|%|t(9;22)(q34.1;q11)(ABL1,BCR) b3a2 fusion transcript/control transcript [# Ratio] in Blood or Tissue by Molecular genetics method"", ""55147-3|%|t(9;22)(q34.1;q11)(ABL1,BCR) b2a2+b3a2 fusion transcript/control transcript [# Ratio] in Blood or Tissue by Molecular genetics method"", ""46434-7|ratio|t(9;22)(q34.1;q11)(ABL1,BCR) fusion transcript/control transcript [# Ratio] in Blood or Tissue by Molecular genetics method"", ""49796-6|copies/mL|t(9;22)(q34.1;q11)(ABL1,BCR) b2a2+b3a2 fusion transcript [#/volume] in Blood or Tissue by Molecular genetics method"", ""21795-0|%|t(9;22)(q34.1;q11)(ABL1,BCR) cells/Cells.total in Blood or Tissue by Molecular genetics method"", ""59472-1|mg/dL|Calcium.ionized [Mass/volume] adjusted to pH 7.4 in Arterial blood by Ion-selective membrane electrode (ISE)"", ""57333-7|mg/dL|Calcium.ionized [Mass/volume] adjusted to pH 7.4 in Serum or Plasma by Ion-selective membrane electrode (ISE)"", ""50195-7|Log Reduction|t(9;22)(q34.1;q11)(ABL1,BCR) fusion transcript/control transcript [Log Number Ratio] in Blood or Tissue by Molecular genetics method"", ""4574-0|%|Hemoglobin E/Hemoglobin.total in Blood by Electrophoresis alkaline (pH 8.9)"", ""4573-2|%|Hemoglobin E/Hemoglobin.total in Blood by Electrophoresis acid (pH 6.3)"", ""50560-2|pH|pH of Urine by Automated test strip"", ""2744-1|pH|pH of Arterial blood"", ""2756-5|pH|pH of Urine"", ""2746-6|pH|pH of Venous blood"", ""11558-4|pH|pH of Blood"", ""33254-4|pH|pH of Arterial blood adjusted to patient's actual temperature"", ""2753-2|pH|pH of Serum or Plasma"", ""2745-8|pH|pH of Capillary blood"", ""49701-6|pH|pH of Blood adjusted to patient's actual temperature"", ""2748-2|pH|pH of Body fluid"", ""28646-8|pH|pH of Arterial cord blood"", ""19213-8|pH|pH of Mixed venous blood"", ""17433-4|pH|pH of Specimen"", ""39486-6|pH|pH of Venous blood adjusted to patient's actual temperature"", ""28647-6|pH|pH of Venous cord blood"", ""14873-4|pH|pH of Cord blood"", ""2752-4|pH|pH of Semen"", ""94309-2||SARS-CoV-2 (COVID-19) RNA [Presence] in Specimen by NAA with probe detection"", ""42714-6||t(9;22)(q34.1;q11)(ABL1,BCR) b2a2+b3a2 fusion transcript [Presence] in Blood or Tissue by Molecular genetics method""]",inferred
24045,WBC (K/uL),6690-2,high,"[""14810-6||Leukocytes [#/volume] in Bronchial specimen by Manual count"", ""30401-4||Leukocytes [#/volume] in Bronchial specimen"", ""6690-2|10*9/L|Leukocytes [#/volume] in Blood by Automated count"", ""26464-8|/uL|Leukocytes [#/volume] in Blood"", ""5799-2||Leukocyte esterase [Presence] in Urine by Test strip"", ""27297-1||Leukocyte esterase [Units/volume] in Urine"", ""71675-3||Basophils/Leukocytes [Pure number fraction] in Blood by Manual count"", ""32712-2||Giant platelets/Leukocytes [Ratio] in Blood by Manual count"", ""4659-9||Leukocyte phosphatase [Enzymatic activity/volume] in Leukocytes"", ""54413-0||Transfuse leukocyte-poor plateletpheresis units [#]"", ""16457-4||Beta-N-acetylhexosaminidase.A [Enzymatic activity/volume] in Leukocytes"", ""71669-6||Blasts/Leukocytes [Pure number fraction] in Blood by Manual count"", ""71661-3||Eosinophils/Leukocytes [Pure number fraction] in Cerebral spinal fluid by Manual count"", ""2563-5||Leukocyte esterase [Enzymatic activity/volume] in Leukocytes"", ""12913-0||Beta-N-acetylhexosaminidase [Enzymatic activity/volume] in Leukocytes"", ""44092-5||Leukocytes [#/area] in Vaginal fluid by Wet preparation"", ""2063-6||Cerebroside sulfatase [Enzymatic activity/volume] in Leukocytes"", ""71676-1||Neutrophils/Leukocytes [Pure number fraction] in Blood by Automated count"", ""71678-7||Lymphocytes/Leukocytes [Pure number fraction] in Blood by Automated count"", ""71679-5||Eosinophils/Leukocytes [Pure number fraction] in Blood by Automated count"", ""71680-3||Basophils/Leukocytes [Pure number fraction] in Blood by Automated count"", ""71677-9||Monocytes/Leukocytes [Pure number fraction] in Blood by Automated count"", ""1943-0||Glucosylceramidase [Enzymatic activity/volume] in Leukocytes"", ""7143-1||Beef triggered histamine release [Units/volume] in Blood"", ""13944-4||Leukocyte phosphatase [Enzymatic activity/volume] in Control Leukocytes by Light microscopy"", ""2648-4||N-Acetylgalactosamine-4-Sulfatase [Enzymatic activity/volume] in Leukocytes"", ""71674-6||Eosinophils/Leukocytes [Pure number fraction] in Blood by Manual count"", ""12915-5||Beta galactosidase [Enzymatic activity/volume] in Leukocytes"", ""71673-8||Lymphocytes/Leukocytes [Pure number fraction] in Blood by Manual count"", ""54414-8||Leukocyte-poor plateletpheresis units given [#]"", ""7606-7||Pigweed triggered histamine release [Units/volume] in Blood"", ""60026-2||Leukocyte esterase [Presence] in Urine by Automated test strip"", ""33256-9|10*3/uL|Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood by Automated count"", ""30405-5|/uL|Leukocytes [#/volume] in Urine"", ""20455-2||Leukocytes [Presence] in Urine sediment by Light microscopy"", ""57845-0|10*9/L|Leukocytes [#/volume] in Body fluid by Automated count"", ""26466-3|/uL|Leukocytes [#/volume] in Body fluid"", ""11156-7||Leukocytes [Morphology] in Blood"", ""6743-9|10*6/L|Leukocytes [#/volume] in Body fluid by Manual count"", ""48705-8||Leukocytes+Platelets [Morphology] in Blood""]",exact
11868,Hemoglobin (g/dL),718-7,high,"[""718-7|g/dL|Hemoglobin [Mass/volume] in Blood"", ""30353-7|g/dL|Hemoglobin [Mass/volume] in Venous cord blood"", ""20509-6|g/dL|Hemoglobin [Mass/volume] in Blood by calculation"", ""41995-2|g/dL|Hemoglobin A1c [Mass/volume] in Blood"", ""30313-1|g/dL|Hemoglobin [Mass/volume] in Arterial blood"", ""30352-9|g/dL|Hemoglobin [Mass/volume] in Capillary blood"", ""30351-1|g/dL|Hemoglobin [Mass/volume] in Mixed venous blood"", ""55782-7|g/dL|Hemoglobin [Mass/volume] in Blood by Oximetry"", ""31157-1|g/dL|Carboxyhemoglobin [Mass/volume] in Blood"", ""39533-5|g/dL|Deoxyhemoglobin [Mass/volume] in Blood"", ""30354-5|g/dL|Hemoglobin [Mass/volume] in Arterial cord blood"", ""33025-8|g/dL|Hemoglobin [Mass/volume] in Venous cord blood by calculation"", ""33026-6|g/dL|Hemoglobin [Mass/volume] in Arterial cord blood by calculation"", ""54289-4|g/dL|Hemoglobin [Mass/volume] in Blood from Blood product unit"", ""105040-0|g/dL|Hemoglobin [Mass/volume] in Mixed venous blood by calculation"", ""719-5|g/dL|Hemoglobin [Mass/volume] in Cerebral spinal fluid"", ""86912-3|g/dL|Hemoglobin goal [Mass/volume] Blood"", ""105274-5|g/dL|Hemoglobin [Mass/volume] in Venous blood by calculation"", ""722-9|g/dL|Hemoglobin [Mass/volume] in Pleural fluid"", ""723-7|g/dL|Hemoglobin [Mass/volume] in Peritoneal fluid"", ""724-5|g/dL|Hemoglobin [Mass/volume] in Synovial fluid"", ""28540-3|g/dL|MCHC [Entitic Mass/volume] in Red Blood Cells"", ""5794-3||Hemoglobin [Presence] in Urine by Test strip"", ""24360-0||Hemoglobin and Hematocrit panel - Blood"", ""71875-9||Hemoglobin A1c/Hemoglobin.total [Pure mass fraction] in Blood"", ""43113-0||Hemoglobin electrophoresis panel in Blood"", ""10346-5||Hemoglobin A [Units/volume] in Blood by Electrophoresis"", ""71840-3||Oxyhemoglobin/Hemoglobin.total [Pure mass fraction] in Blood"", ""71836-1||Oxyhemoglobin/Hemoglobin.total [Pure mass fraction] in Venous blood"", ""9749-3||Hemoglobin F [Units/volume] in Blood by Electrophoresis"", ""16931-8||Hematocrit/Hemoglobin [Ratio] of Blood by Automated count"", ""48556-5||Erythrocytes.fetal/1000 erythrocytes [Ratio] in Blood by Kleihauer-Betke method"", ""71839-5||Oxyhemoglobin/Hemoglobin.total [Pure mass fraction] in Arterial blood"", ""27353-2|mg/dL|Glucose mean value [Mass/volume] in Blood Estimated from glycated hemoglobin"", ""30350-3|g/L;g/dL|Hemoglobin [Mass/volume] in Venous blood"", ""57751-0||Hemoglobin [Presence] in Urine by Automated test strip"", ""14775-1|g/L|Hemoglobin [Mass/volume] in Arterial blood by Oximetry"", ""33509-1|g/L;g/dL|Hemoglobin [Mass/volume] in Body fluid"", ""29771-3||Hemoglobin [Presence] in Stool from gastrointestinal lower by Immunoassay"", ""46740-7||Hemoglobin disorders newborn screen interpretation""]",exact
11789,Hematocrit (%),4544-3,high,"[""20570-8|%|Hematocrit [Volume Fraction] of Blood by calculation"", ""31100-1|%|Hematocrit [Volume Fraction] of Blood by Impedance"", ""32354-3|%|Hematocrit [Volume Fraction] of Arterial blood by calculation"", ""41654-5|%|Hematocrit [Volume Fraction] of Venous blood by calculation"", ""31111-8|%|Reticulocyte production index"", ""4545-0|%|Hematocrit [Volume Fraction] of Blood by Centrifugation"", ""43416-7|%|Hematocrit [Volume Fraction] of Stem cell product by calculation"", ""48703-3|%|Hematocrit [Volume Fraction] of Blood by Estimated"", ""42908-4|%|Hematocrit [Volume Fraction] of Capillary blood by calculation"", ""11271-4|%|Hematocrit [Volume Fraction] of Cord blood by Automated count"", ""98998-8|%|Hematocrit [Pure volume fraction] of Cord blood by Automated count"", ""11151-8|%|Hematocrit [Volume Fraction] of Cord blood by calculation"", ""47640-8|%|Hematocrit [Volume Fraction] of Dialysis fluid by calculation"", ""13508-7|%|Hematocrit [Volume Fraction] of Cerebral spinal fluid by Centrifugation"", ""111539-3|%|Hematocrit [Volume Fraction] adjusted to ideal blood volume by calculation"", ""30398-2|%|Hematocrit [Volume Fraction] of Cerebral spinal fluid by calculation"", ""104826-3|%|Hematocrit [Pure volume fraction] of Blood by calculation"", ""70168-0|%|Hematocrit [Volume Fraction] of Synovial fluid by calculation"", ""70169-8|%|Hematocrit [Volume Fraction] of Pleural fluid by calculation"", ""107175-2|%|Hematocrit [Volume Fraction] of Peritoneal fluid"", ""17809-5|%|Hematocrit [Volume Fraction] of Urine by calculation"", ""55781-9|%|Hematocrit [Volume Fraction] of Bone marrow by calculation"", ""41655-2|%|Hematocrit [Volume Fraction] of Mixed venous blood by calculation"", ""104874-3|%|Hematocrit [Volume Fraction] of Blood by calculation --baseline"", ""104875-0|%|Hematocrit [Volume Fraction] of Blood --30 minutes post dose glucose"", ""104876-8|%|Hematocrit [Volume Fraction] of Blood --1 hour post dose glucose"", ""104877-6|%|Hematocrit [Volume Fraction] of Blood --1.5 hours post dose glucose"", ""104878-4|%|Hematocrit [Volume Fraction] of Blood --2 hours post dose glucose"", ""104879-2|%|Hematocrit [Volume Fraction] of Blood --2.5 hours post dose glucose"", ""104880-0|%|Hematocrit [Volume Fraction] of Blood --3 hours post dose glucose"", ""71833-8||Hematocrit [Pure volume fraction] of Blood by Automated count"", ""24360-0||Hemoglobin and Hematocrit panel - Blood"", ""16931-8||Hematocrit/Hemoglobin [Ratio] of Blood by Automated count"", ""71829-6||Hematocrit [Pure volume fraction] of Venous blood by calculation"", ""71828-8||Hematocrit [Pure volume fraction] of Body fluid by calculation"", ""71830-4||Hematocrit [Pure volume fraction] of Mixed venous blood by calculation"", ""71831-2||Hematocrit [Pure volume fraction] of Capillary blood by calculation"", ""71832-0||Hematocrit [Pure volume fraction] of Arterial blood by calculation"", ""101655-9||Basic metabolic and hematocrit panel - Blood"", ""39227-4||Hematocrit test status CPHS""]",exact
18104,Platelet count (K/uL),777-3,high,"[""777-3|10*9/L|Platelets [#/volume] in Blood by Automated count"", ""26515-7|10*3/mm3|Platelets [#/volume] in Blood"", ""32712-2||Giant platelets/Leukocytes [Ratio] in Blood by Manual count"", ""51872-0||Transfuse platelet concentrate units [#]"", ""51873-8||Platelet concentrate units given [#]"", ""49497-1|10*3/mm3|Platelets [#/volume] in Blood by Estimate"", ""34167-7||Platelets Large [Presence] in Blood by Automated count"", ""40574-6|10*9/L|Platelets [#/volume] in Body fluid by Automated count"", ""71692-8|10*3/uL|Platelets reticulated [#/volume] in Blood by Automated count"", ""778-1|10*9/L|Platelets [#/volume] in Blood by Manual count"", ""40741-1||Platelet clump [Presence] in Blood by Automated count"", ""15201-7|10*9/L|Platelets Large Fragments [#/volume] in Blood by Manual count"", ""13056-7|10*3/uL|Platelets [#/volume] in Plasma by Automated count"", ""51884-5||Transfuse pooled platelets units [#]"", ""52118-7||Pooled platelets units available [#]"", ""53800-9||Platelets panel - Blood by Automated count"", ""54404-9||Pooled platelet concentrate units given [#]"", ""54415-5||Transfuse leukocyte-poor platelets units [#]"", ""14301-6||Platelet concentrate units available [#]"", ""62244-9|10*9/L|Platelets [#/volume] in Blood from Fetus by Automated count"", ""96354-6|10*9/L|Platelets Large [#/volume] in Blood by Automated count"", ""47284-5|10*9/L|Platelets [#/volume] in Cord blood"", ""55802-3|10*3/uL|Platelets [#/volume] in Cord blood by Estimate"", ""74464-9|10*9/L|Platelets [#/volume] in Capillary blood by Manual count"", ""97995-5|10*9/L|Platelets [#/volume] in Blood by Automated count.optical"", ""74775-8|10*3/uL|Platelets [#/volume] in Platelet rich plasma by Automated count"", ""33765-9|10*3/uL|Leukocytes [#/volume] in Blood Product unit.platelet pheresis by Automated count"", ""107193-5|10^3/uL|Platelets [#/volume] in Blood by Automated count --in presence of EDTA to detect possible clumping"", ""26516-5|10*3/uL|Platelets [#/volume] in Plasma"", ""26569-4|/uL|CD4+CD29+ cells [#/volume] in Blood"", ""32623-1|fL|Platelet [Entitic mean volume] in Blood by Automated count"", ""53273-9||Urinalysis type of non-squamous epithelial cells panel [#/volume] - Urine by Computer assisted method"", ""71693-6|%|Platelets reticulated/Platelets in Blood by Automated count"", ""53264-8||Urinalysis yeast variants panel [#/volume] - Urine by Computer assisted method"", ""53281-2||Urinalysis type of cast panel [#/volume] - Urine by Computer assisted method"", ""53295-2||Urinalysis type of crystal panel [#/volume] - Urine by Computer assisted method"", ""20769-6||Coliform bacteria [#/volume] in Water by Viability count"", ""53351-3||Urinalysis other formed elements panel [#/volume] - Urine by Computer assisted method"", ""30401-4||Leukocytes [#/volume] in Bronchial specimen"", ""54926-1||t(9;22)(q34.1;q11)(ABL1,BCR) e19a2 fusion transcript [#/volume] in Blood or Tissue by Molecular genetics method""]",exact
14678,MCV (fL),787-2,high,"[""787-2|fL|MCV [Entitic mean volume] in Red Blood Cells by Automated count"", ""30428-7|fL|MCV [Entitic mean volume] in Red Blood Cells"", ""62242-3|fL|MCV [Entitic mean volume] in Red Blood Cells from Fetus by Automated count"", ""47282-9|fL|MCV [Entitic mean volume] in Cord blood"", ""11272-2|fL|MCV [Entitic mean volume] in Cord blood by Automated count"", ""54022-9|arb U/mL|Mutated citrullinated vimentin Ab [Units/volume] in Serum""]",exact
19192,RDW (%),788-0,high,"[""21000-5|fL|Erythrocyte distribution width [Entitic volume] by Automated count"", ""76138-7|%|Reticulocyte distribution width [Ratio] in Blood by calculation"", ""51631-0|%|Platelet distribution width [Ratio] in Blood"", ""788-0|%|Erythrocyte [DistWidth] in Blood by Automated count"", ""20570-8|%|Hematocrit [Volume Fraction] of Blood by calculation"", ""58413-6|%|Nucleated erythrocytes/Leukocytes [Ratio] in Blood by Automated count"", ""30385-9|%|Erythrocyte [DistWidth] in Blood"", ""31100-1|%|Hematocrit [Volume Fraction] of Blood by Impedance"", ""17849-1|%|Reticulocytes/Erythrocytes in Blood by Automated count"", ""32354-3|%|Hematocrit [Volume Fraction] of Arterial blood by calculation"", ""4679-7|%|Reticulocytes/Erythrocytes in Blood"", ""18309-5|%|Nucleated erythrocytes/Leukocytes [Ratio] in Blood by Manual count"", ""41654-5|%|Hematocrit [Volume Fraction] of Venous blood by calculation"", ""31112-6|%|Reticulocytes/Erythrocytes in Blood by Manual"", ""31111-8|%|Reticulocyte production index"", ""51630-2|%|Schistocytes/1000 erythrocytes in Blood by Light microscopy"", ""41282-5|%|Nucleated erythrocytes/Leukocytes [Ratio] in Body fluid by Manual count"", ""49031-8|%|CD59 RBC/Erythrocytes in Blood"", ""33662-8|%|Erythrocytes.CD59 deficient/Erythrocytes in Blood"", ""55729-8|%|Erythrocytes.fetal/Erythrocytes [Ratio] in Blood by Flow cytometry (FC)"", ""4545-0|%|Hematocrit [Volume Fraction] of Blood by Centrifugation"", ""43416-7|%|Hematocrit [Volume Fraction] of Stem cell product by calculation"", ""30156-4|%|Reticulocytes.aggregate/Erythrocytes in Blood"", ""47277-9|%|Erythrocyte [DistWidth] in Cord blood"", ""48778-5|%|Nucleated erythrocytes/cells in Cerebral spinal fluid"", ""68545-3|%|Nucleated erythrocytes/Leukocytes [Ratio] in Synovial fluid"", ""53556-7|%|Erythrocytes.Plasmodium sp infected/Erythrocytes in Blood"", ""33057-1|%|Heinz bodies/Erythrocytes in Blood by Light microscopy"", ""48703-3|%|Hematocrit [Volume Fraction] of Blood by Estimated"", ""51639-3|%|Acanthocytes/1000 erythrocytes in Blood by Light microscopy"", ""46080-8|%|CD55 RBC/Erythrocytes in Blood"", ""48708-2|%|Erythrocytes.fresh/Erythrocytes in Cerebral spinal fluid by Manual count"", ""75373-1|%|Erythrocytes.fetal/2000 erythrocytes in Blood by Kleihauer-Betke method"", ""42908-4|%|Hematocrit [Volume Fraction] of Capillary blood by calculation"", ""53967-6|%|Erythrocytes.dysmorphic/Erythrocytes in Urine sediment by Light microscopy"", ""11271-4|%|Hematocrit [Volume Fraction] of Cord blood by Automated count"", ""98998-8|%|Hematocrit [Pure volume fraction] of Cord blood by Automated count"", ""30155-6|%|Reticulocytes.punctate/Erythrocytes in Blood"", ""104826-3|%|Hematocrit [Pure volume fraction] of Blood by calculation"", ""62440-3|%|Nucleated erythrocytes/Leukocytes [Ratio] in Body fluid by Automated count""]",exact
19112,RBC (MIL/uL),789-8,high,"[""789-8|10*12/L|Erythrocytes [#/volume] in Blood by Automated count"", ""26453-1|10*12/L|Erythrocytes [#/volume] in Blood"", ""46419-8||Erythrocytes [#/area] in Urine sediment by Automated count"", ""51880-3||Packed erythrocytes units given [#]"", ""71833-8||Hematocrit [Pure volume fraction] of Blood by Automated count"", ""44242-6||Erythrocytes [#/area] in Vaginal fluid by Wet preparation"", ""51879-5||Transfuse packed erythrocytes units [#]"", ""48556-5||Erythrocytes.fetal/1000 erythrocytes [Ratio] in Blood by Kleihauer-Betke method"", ""56472-4||Nucleated erythrocytes [#] in Specimen by Manual count"", ""5161-5||Erythrocyte Ab [Units/volume] in Serum"", ""2898-5||Protoporphyrin [Mass/volume] in Red Blood Cells"", ""53358-8||Erythrocyte clumps [#/area] in Urine by Computer assisted method"", ""4487-5||Complement C3 fragment [Mass/volume] in Red Blood Cells"", ""71829-6||Hematocrit [Pure volume fraction] of Venous blood by calculation"", ""771-6|10*9/L|Nucleated erythrocytes [#/volume] in Blood by Automated count"", ""6742-1||Erythrocyte [Morphology] in Blood"", ""30392-5|10*9/L|Nucleated erythrocytes [#/volume] in Blood"", ""33256-9|10*3/uL|Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood by Automated count"", ""33051-4||Erythrocytes [Presence] in Urine"", ""32776-7||Erythrocytes [Presence] in Urine sediment by Light microscopy"", ""30391-7|/uL|Erythrocytes [#/volume] in Urine"", ""26455-6|10*3/uL|Erythrocytes [#/volume] in Body fluid"", ""23860-0|10*3/uL|Erythrocytes [#/volume] in Body fluid by Automated count"", ""798-9|/uL|Erythrocytes [#/volume] in Urine by Automated count"", ""5808-1|/mL|Erythrocytes [#/volume] in Urine sediment by Microscopy high power field"", ""1255-9||Minor crossmatch [Interpretation]"", ""1006-6||Direct antiglobulin test.IgG specific reagent [Interpretation] on Red Blood Cells"", ""1007-4||Direct antiglobulin test.polyspecific reagent [Presence] on Red Blood Cells"", ""26454-9|10*3/uL|Erythrocytes [#/volume] in Cerebral spinal fluid"", ""6741-3|10*6/L|Erythrocytes [#/volume] in Body fluid by Manual count"", ""772-4|10*9/L|Nucleated erythrocytes [#/volume] in Blood by Manual count"", ""11273-0||Erythrocytes [Morphology] in Blood by Automated count"", ""34200-6||Nucleated erythrocytes [Presence] in Blood by Automated count"", ""49121-7||Erythrocyte inclusion bodies [Identifier] in Blood"", ""51006-5||Direct antiglobulin test.unspecified reagent [Presence] on Red Blood Cells"", ""58408-6||Erythrocyte morphology panel - Blood"", ""54410-6||Direct antiglobulin test.complement C3 specific reagent [Presence] on Red Blood Cells"", ""14575-5||Blood group antibody investigation [Interpretation] in Plasma or RBC"", ""53292-9||Erythrocytes [Presence] in Urine by Automated"", ""792-2|10*6/L|Erythrocytes [#/volume] in Cerebral spinal fluid by Manual count""]",exact
14647,MCH (pg),785-6,high,"[""785-6|pg|MCH [Entitic mass] by Automated count"", ""28539-5|pg|MCH [Entitic mass]"", ""47278-7|pg|MCH [Entitic mass] in Cord blood"", ""62243-1|pg|MCH [Entitic mass] in Fetus by Automated count"", ""59468-9|fmol|MCH [Entitic substance]""]",exact
