phecodes,task,phenotype
8.0,8.0,Intestinal infection
8.5,8.5,Bacterial enteritis
8.51,8.51,Intestinal e.coli
8.52,8.52,Intestinal infection due to C. difficile
8.6,8.6,Viral Enteritis
8.7,8.7,Intestinal infection due to protozoa
10.0,10.0,Tuberculosis
31.0,31.0,Diseases due to other mycobacteria
31.1,31.1,Leprosy
38.0,38.0,Septicemia
38.1,38.1,Gram negative septicemia
38.2,38.2,Gram positive septicemia
38.3,38.3,Bacteremia
41.0,41.0,Bacterial infection NOS
41.1,41.1,Staphylococcus infections
41.11,41.11,Methicillin sensitive Staphylococcus aureus
41.12,41.12,Methicillin resistant Staphylococcus aureus
41.2,41.2,Streptococcus infection
41.21,41.21,Rheumatic fever / chorea
41.4,41.4,E. coli
41.8,41.8,H. pylori
41.9,41.9,Infection with drug-resistant microorganisms
53.0,53.0,Herpes zoster
53.1,53.1,Herpes zoster with nervous system complications
54.0,54.0,Herpes simplex
70.0,70.0,Viral hepatitis
70.1,70.1,Viral hepatitis A
70.2,70.2,Viral hepatitis B
70.3,70.3,Viral hepatitis C
70.4,70.4,Chronic hepatitis
70.9,70.9,Hepatitis NOS
71.0,71.0,Human immunodeficiency virus [HIV] disease
71.1,71.1,"HIV infection, symptomatic"
78.0,78.0,Viral warts & HPV
79.0,79.0,Viral infection
79.1,79.1,Varicella infection
79.2,79.2,Infectious mononucleosis
79.9,79.9,"Viremia, NOS"
80.0,80.0,Postoperative infection
81.0,81.0,Infection/inflammation of internal prosthetic device; implant; and graft
81.1,81.1,Graft-versus-host disease
81.11,81.11,Acute graft-versus-host disease
81.12,81.12,Chronic graft-versus-host disease
90.0,90.0,Sexually transmitted infections (not HIV or hepatitis)
90.2,90.2,Gonococcal infections
90.3,90.3,Venereal diseases due to Chlamydia trachomatis
110.0,110.0,Dermatophytosis / Dermatomycosis
110.1,110.1,Dermatophytosis
110.11,110.11,Dermatophytosis of nail
110.12,110.12,Althete's foot
110.13,110.13,Dermatophytosis of the body
110.2,110.2,Dermatomycoses
112.0,112.0,Candidiasis
112.3,112.3,Candidiasis of skin and nails
117.0,117.0,Mycoses
117.1,117.1,Histoplasmosis
117.2,117.2,Coccidioidomycosis
117.3,117.3,Blastomycotic infection
117.4,117.4,Aspergillosis
130.0,130.0,Spirochetal infection
130.1,130.1,Lyme disease
131.0,131.0,Protozoan infection
132.0,132.0,"Infestation (lice, mites)"
132.1,132.1,Pediculosis and phthirus infestation
133.0,133.0,Arthropod-borne diseases
134.0,134.0,Helminthiases
134.1,134.1,Intestinal helminthiases
136.0,136.0,Other infectious and parasitic diseases
145.0,145.0,Cancer of mouth
145.0,cancer_head_neck,Cancer of mouth (head/neck)
145.1,145.1,Cancer of lip
145.1,cancer_head_neck,Cancer of lip (head/neck)
145.2,145.2,Cancer of tongue
145.2,cancer_head_neck,Cancer of tongue
145.3,cancer_head_neck,Cancer of major salivary glands
145.3,145.3,Cancer of major salivary glands
145.4,cancer_head_neck,Cancer of the gums (head/neck)
145.4,145.4,Cancer of the gums
145.5,145.5,Cancer of the mouth floor
145.5,cancer_head_neck,Cancer of the mouth floor (head/neck)
149.0,cancer_head_neck,"Cancer of larynx, pharynx, nasal cavities"
149.0,149.0,"Cancer of larynx, pharynx, nasal cavities"
149.1,cancer_head_neck,Cancer of oropharynx
149.1,149.1,Cancer of oropharynx
149.2,cancer_head_neck,Cancer of nasopharynx
149.2,149.2,Cancer of nasopharynx
149.3,149.3,Cancer of hypopharynx
149.3,cancer_head_neck,Cancer of hypopharynx
149.4,cancer_head_neck,Cancer of larynx
149.4,149.4,Cancer of larynx
149.5,149.5,Hx of malignant neoplasm of oral cavity and pharynx
149.9,149.9,Cancer of of nasal cavities
149.9,cancer_head_neck,Cancer of of nasal cavities
150.0,cancer_abdomen,Cancer of esophagus
150.0,cancer_esophagus,Cancer of esophagus
150.0,150.0,Cancer of esophagus
151.0,151.0,Cancer of stomach
151.0,cancer_stomach,Cancer of stomach
151.0,cancer_abdomen,Cancer of stomach
153.0,153.0,Colorectal cancer
153.0,cancer_colon,Colorectal cancer
153.0,cancer_abdomen,Colorectal cancer
153.2,153.2,Colon cancer
153.2,cancer_abdomen,Colon cancer
153.2,cancer_colon,Colon cancer
153.3,153.3,"Malignant neoplasm of rectum, rectosigmoid junction, and anus"
153.3,cancer_colon,"Malignant neoplasm of rectum, rectosigmoid junction, and anus"
153.3,cancer_abdomen,"Malignant neoplasm of rectum, rectosigmoid junction, and anus"
155.0,cancer_abdomen,Cancer of liver and intrahepatic bile duct
155.0,155.0,Cancer of liver and intrahepatic bile duct
155.0,cancer_liver,Cancer of liver and intrahepatic bile duct
155.1,155.1,"Malignant neoplasm of liver, primary"
155.1,cancer_abdomen,"Malignant neoplasm of liver, primary"
155.1,cancer_liver,"Malignant neoplasm of liver, primary"
157.0,cancer_pancreatic,Pancreatic cancer
157.0,cancer_abdomen,Pancreatic cancer
157.0,cancer_pancreas,Pancreatic cancer
157.0,157.0,Pancreatic cancer
158.0,cancer_digestive_misc,Neoplasm of unspecified nature of digestive system
158.0,158.0,Neoplasm of unspecified nature of digestive system
158.0,cancer_abdomen,Neoplasm of unspecified nature of digestive system
159.0,159.0,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
159.0,cancer_abdomen,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum
159.2,cancer_abdomen,"Malignant neoplasm of small intestine, including duodenum"
159.2,159.2,"Malignant neoplasm of small intestine, including duodenum"
159.3,cancer_abdomen,Malignant neoplasm of gallbladder and extrahepatic bile ducts
159.3,159.3,Malignant neoplasm of gallbladder and extrahepatic bile ducts
159.4,159.4,Malignant neoplasm of retroperitoneum and peritoneum
159.4,cancer_abdomen,Malignant neoplasm of retroperitoneum and peritoneum
164.0,164.0,Cancer of intrathoracic organs
165.0,165.0,Cancer within the respiratory system
165.0,cancer_lung,Cancer within the respiratory system
165.1,165.1,Cancer of bronchus; lung
165.1,cancer_lung,Cancer of bronchus; lung
170.0,170.0,Cancer of bone and connective tissue
170.1,170.1,Bone cancer
170.2,170.2,Cancer of connective tissue
172.0,172.0,Skin cancer
172.1,cancer_skin,"Melanomas of skin, dx or hx"
172.1,172.1,"Melanomas of skin, dx or hx"
172.11,172.11,Melanomas of skin
172.11,cancer_skin,Melanomas of skin
172.2,172.2,Other non-epithelial cancer of skin
172.21,172.21,Basal cell carcinoma
172.21,cancer_skin,Basal cell carcinoma
172.22,cancer_skin,Squamous cell carcinoma
172.22,172.22,Squamous cell carcinoma
172.3,cancer_skin,Carcinoma in situ of skin
172.3,172.3,Carcinoma in situ of skin
173.0,173.0,Neoplasm of uncertain behavior of skin
174.0,174.0,Breast cancer
174.0,cancer_breast,Breast cancer
174.1,cancer_breast,Breast cancer [female]
174.1,174.1,Breast cancer [female]
174.11,174.11,Malignant neoplasm of female breast
174.11,cancer_breast,Malignant neoplasm of female breast
174.2,cancer_breast,Breast cancer [male]
174.2,174.2,Breast cancer [male]
174.3,174.3,Neoplasm of uncertain behavior of breast
175.0,175.0,Acquired absence of breast
180.0,180.0,Cervical cancer and dysplasia
180.1,cancer_reproductive_female,Cervical cancer (female cancer)
180.1,180.1,Cervical cancer
180.3,180.3,Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia]
182.0,182.0,Malignant neoplasm of uterus
182.0,cancer_reproductive_female,Malignant neoplasm of uterus
184.0,184.0,Cancer of other female genital organs
184.0,cancer_reproductive_female,Cancer of other female genital organs
184.1,cancer_reproductive_female,Malignant neoplasm of ovary and other uterine adnexa
184.1,184.1,Malignant neoplasm of ovary and other uterine adnexa
184.11,184.11,Malignant neoplasm of ovary
184.11,cancer_reproductive_female,Malignant neoplasm of ovary
184.2,184.2,"Cancer of other female genital organs, excluding uterus and ovary"
184.2,cancer_reproductive_female,Cancer of other female genital organs (excluding uterus and ovary)
185.0,cancer_reproductive_male,Cancer of prostate
185.0,185.0,Cancer of prostate
187.0,cancer_reproductive_male,Cancer of other male genital organs
187.0,187.0,Cancer of other male genital organs
187.1,187.1,Malignant neoplasm of unspecified male genital organ
187.1,cancer_reproductive_male,Malignant neoplasm of unspecified male genital organ
187.2,187.2,Malignant neoplasm of testis
187.2,cancer_reproductive_male,Malignant neoplasm of testis
187.8,187.8,Neoplasm of uncertain behavior of male genital organs
187.8,cancer_reproductive_male,Neoplasm of uncertain behavior of male genital organs
189.0,189.0,Cancer of urinary organs (incl. kidney and bladder)
189.0,cancer_urinary,Cancer of urinary organs (incl. kidney and bladder)
189.1,cancer_urinary,Cancer of kidney and renal pelvis
